sensor_id,timestamp,movement_type,direction,season,foot_traffic_count,vehicle_count,public_transport_ref,vu_schedule_ref
1,2025-05-19 09:43:17,"Vehicle",,,0,5318,false,false
7,2025-05-19 09:40:15,"Pedestrian",,,4264,0,false,false
5,2025-05-19 09:40:15,"Vehicle",,,0,1554,false,false
10,2025-05-19 09:37:36,"Pedestrian",,,3693,0,false,false
9,2025-05-19 09:37:36,"Vehicle",,,0,5214,false,false
8,2025-05-19 09:34:33,"Vehicle",,,0,1598,false,false
9,2025-05-19 09:34:33,"Pedestrian",,,439,0,false,false
5,2025-05-19 09:32:36,"Pedestrian",,,1009,0,false,false
6,2025-05-19 09:31:25,"Pedestrian",,,266,0,false,false
10,2025-05-19 09:30:00,"Cyclist",,,19,0,false,false
3,2025-05-19 09:30:00,"Cyclist",,,44,0,false,false
8,2025-05-19 09:30:00,"Cyclist",,,0,0,false,false
2,2025-05-19 09:30:00,"Cyclist",,,7,0,false,false
4,2025-05-19 09:30:00,"Cyclist",,,10,0,false,false
7,2025-05-19 09:30:00,"Cyclist",,,54,0,false,false
6,2025-05-19 09:30:00,"Cyclist",,,45,0,false,false
13,2025-05-19 09:30:00,"Cyclist",,,8,0,false,false
5,2025-05-19 09:30:00,"Cyclist",,,12,0,false,false
1,2025-05-19 09:30:00,"Cyclist",,,42,0,false,false
11,2025-05-19 09:30:00,"Cyclist",,,140,0,false,false
4,2025-05-19 09:26:05,"Vehicle",,,0,3824,false,false
4,2025-05-19 09:26:05,"Pedestrian",,,2756,0,false,false
3,2025-05-19 09:23:45,"Vehicle",,,0,3987,false,false
3,2025-05-19 09:23:45,"Pedestrian",,,3174,0,false,false
2,2025-05-19 09:21:05,"Pedestrian",,,598,0,false,false
2,2025-05-19 09:21:05,"Vehicle",,,0,2860,false,false
11,2025-05-19 09:19:35,"Pedestrian",,,302,0,false,false
10,2025-05-19 09:19:35,"Vehicle",,,0,1305,false,false
8,2025-05-19 09:16:55,"Pedestrian",,,0,0,false,false
6,2025-05-19 09:16:55,"Vehicle",,,0,0,false,false
1,2025-05-19 09:13:29,"Pedestrian",,,2323,0,false,false
1,2025-05-19 09:13:29,"Vehicle",,,0,5195,false,false
5,2025-05-19 09:10:23,"Vehicle",,,0,1491,false,false
7,2025-05-19 09:10:23,"Pedestrian",,,4177,0,false,false
9,2025-05-19 09:07:37,"Vehicle",,,0,5069,false,false
10,2025-05-19 09:07:37,"Pedestrian",,,3596,0,false,false
9,2025-05-19 09:04:32,"Pedestrian",,,439,0,false,false
8,2025-05-19 09:04:32,"Vehicle",,,0,1596,false,false
5,2025-05-19 09:02:38,"Pedestrian",,,1005,0,false,false
6,2025-05-19 09:01:27,"Pedestrian",,,266,0,false,false
10,2025-05-19 09:00:00,"Cyclist",,,19,0,false,false
3,2025-05-19 09:00:00,"Cyclist",,,44,0,false,false
5,2025-05-19 09:00:00,"Cyclist",,,12,0,false,false
11,2025-05-19 09:00:00,"Cyclist",,,139,0,false,false
1,2025-05-19 09:00:00,"Cyclist",,,41,0,false,false
8,2025-05-19 09:00:00,"Cyclist",,,0,0,false,false
4,2025-05-19 09:00:00,"Cyclist",,,10,0,false,false
2,2025-05-19 09:00:00,"Cyclist",,,7,0,false,false
6,2025-05-19 09:00:00,"Cyclist",,,45,0,false,false
7,2025-05-19 09:00:00,"Cyclist",,,52,0,false,false
13,2025-05-19 09:00:00,"Cyclist",,,8,0,false,false
4,2025-05-19 08:56:31,"Pedestrian",,,2707,0,false,false
4,2025-05-19 08:56:31,"Vehicle",,,0,3745,false,false
3,2025-05-19 08:54:08,"Pedestrian",,,3049,0,false,false
3,2025-05-19 08:54:08,"Vehicle",,,0,3825,false,false
2,2025-05-19 08:51:24,"Vehicle",,,0,2762,false,false
2,2025-05-19 08:51:24,"Pedestrian",,,575,0,false,false
